frame,flex,add,introt,ant,prox,lat
1,46.523,3.170,-0.346,2.038,-0.357,3.667
2,46.745,3.257,-0.268,2.101,-0.343,3.678
3,46.965,3.343,-0.189,2.164,-0.330,3.689
4,47.185,3.429,-0.110,2.226,-0.316,3.700
5,47.403,3.515,-0.031,2.289,-0.303,3.710
6,47.621,3.600,0.049,2.351,-0.290,3.720
7,47.837,3.686,0.129,2.413,-0.277,3.730
8,48.053,3.771,0.209,2.475,-0.265,3.740
9,48.267,3.856,0.290,2.537,-0.252,3.749
10,48.481,3.941,0.371,2.598,-0.239,3.758
11,48.693,4.025,0.452,2.660,-0.227,3.766
12,48.904,4.109,0.533,2.720,-0.215,3.775
13,49.114,4.193,0.615,2.781,-0.203,3.783
14,49.322,4.276,0.697,2.841,-0.191,3.791
15,49.530,4.359,0.779,2.900,-0.179,3.798
16,49.736,4.442,0.862,2.960,-0.168,3.805
17,49.941,4.524,0.945,3.018,-0.156,3.812
18,50.145,4.606,1.028,3.077,-0.145,3.818
19,50.347,4.688,1.111,3.134,-0.134,3.824
20,50.549,4.769,1.194,3.192,-0.123,3.830
21,50.748,4.849,1.278,3.249,-0.112,3.835
22,50.947,4.929,1.362,3.305,-0.101,3.840
23,51.144,5.009,1.446,3.360,-0.091,3.845
24,51.340,5.088,1.530,3.415,-0.080,3.849
25,51.535,5.166,1.615,3.470,-0.070,3.852
26,51.728,5.244,1.699,3.524,-0.060,3.856
27,51.919,5.322,1.784,3.577,-0.050,3.859
28,52.110,5.399,1.869,3.629,-0.040,3.861
29,52.298,5.475,1.954,3.681,-0.030,3.864
30,52.486,5.550,2.040,3.732,-0.021,3.865
31,52.671,5.625,2.125,3.782,-0.012,3.867
32,52.856,5.700,2.211,3.831,-0.002,3.868
33,53.039,5.773,2.297,3.880,0.007,3.868
34,53.220,5.846,2.383,3.928,0.016,3.868
35,53.400,5.918,2.469,3.975,0.025,3.868
36,53.578,5.990,2.555,4.021,0.033,3.867
37,53.754,6.061,2.642,4.067,0.042,3.866
38,53.929,6.131,2.728,4.111,0.050,3.864
39,54.103,6.200,2.815,4.155,0.058,3.862
40,54.274,6.269,2.901,4.198,0.066,3.859
41,54.445,6.337,2.988,4.240,0.074,3.856
42,54.613,6.404,3.075,4.281,0.082,3.852
43,54.780,6.470,3.162,4.321,0.090,3.848
44,54.945,6.535,3.249,4.360,0.097,3.844
45,55.108,6.600,3.336,4.398,0.104,3.839
46,55.270,6.664,3.423,4.435,0.112,3.833
47,55.430,6.726,3.510,4.471,0.119,3.827
48,55.588,6.788,3.597,4.507,0.126,3.821
49,55.745,6.850,3.684,4.541,0.132,3.814
50,55.900,6.910,3.772,4.574,0.139,3.806
