time,flex,add,introt,ant,prox,lat
0.000,64.065,6.910,6.000,4.442,0.296,1.386
0.010,64.145,6.964,6.085,4.484,0.309,1.380
0.020,64.224,7.018,6.170,4.526,0.321,1.373
0.030,64.300,7.071,6.255,4.568,0.333,1.366
0.040,64.373,7.124,6.339,4.609,0.344,1.358
0.050,64.445,7.177,6.423,4.651,0.356,1.350
0.060,64.514,7.229,6.507,4.692,0.367,1.342
0.070,64.581,7.282,6.591,4.732,0.379,1.334
0.080,64.646,7.333,6.675,4.772,0.390,1.325
0.090,64.709,7.385,6.758,4.812,0.401,1.316
0.100,64.769,7.435,6.841,4.852,0.411,1.307
0.110,64.827,7.486,6.924,4.891,0.422,1.297
0.120,64.883,7.536,7.007,4.930,0.432,1.287
0.130,64.937,7.585,7.089,4.968,0.443,1.276
0.140,64.988,7.634,7.171,5.006,0.453,1.265
0.150,65.038,7.683,7.253,5.043,0.462,1.254
0.160,65.085,7.731,7.334,5.079,0.472,1.243
0.170,65.129,7.778,7.415,5.116,0.482,1.231
0.180,65.172,7.825,7.496,5.151,0.491,1.218
0.190,65.212,7.871,7.576,5.186,0.500,1.206
0.200,65.250,7.917,7.657,5.221,0.509,1.193
0.210,65.285,7.962,7.736,5.254,0.518,1.179
0.220,65.318,8.006,7.816,5.287,0.527,1.165
0.230,65.350,8.050,7.895,5.320,0.535,1.151
0.240,65.378,8.093,7.974,5.351,0.544,1.137
0.250,65.405,8.136,8.052,5.382,0.552,1.122
0.260,65.429,8.178,8.130,5.413,0.560,1.106
0.270,65.451,8.219,8.208,5.442,0.568,1.090
0.280,65.471,8.259,8.285,5.471,0.575,1.074
0.290,65.489,8.299,8.362,5.499,0.583,1.058
0.300,65.504,8.338,8.439,5.526,0.590,1.041
0.310,65.517,8.376,8.515,5.552,0.597,1.023
0.320,65.528,8.414,8.590,5.578,0.604,1.005
0.330,65.536,8.450,8.665,5.602,0.611,0.987
0.340,65.543,8.486,8.740,5.626,0.618,0.968
0.350,65.547,8.521,8.815,5.649,0.624,0.949
0.360,65.548,8.555,8.888,5.671,0.631,0.930
0.370,65.548,8.589,8.962,5.692,0.637,0.910
0.380,65.545,8.621,9.035,5.712,0.643,0.890
0.390,65.541,8.653,9.107,5.731,0.648,0.869
0.400,65.534,8.684,9.179,5.749,0.654,0.848
0.410,65.524,8.714,9.251,5.766,0.660,0.827
0.420,65.513,8.743,9.322,5.782,0.665,0.805
0.430,65.499,8.771,9.393,5.797,0.670,0.782
0.440,65.483,8.798,9.463,5.811,0.675,0.760
0.450,65.465,8.824,9.532,5.824,0.680,0.737
0.460,65.445,8.850,9.601,5.836,0.684,0.713
0.470,65.422,8.874,9.670,5.847,0.689,0.689
0.480,65.398,8.898,9.738,5.857,0.693,0.665
0.490,65.371,8.920,9.805,5.866,0.697,0.640
0.501,65.342,8.941,9.872,5.874,0.701,0.615
0.511,65.311,8.962,9.938,5.881,0.705,0.589
0.521,65.278,8.981,10.004,5.887,0.709,0.563
0.531,65.242,9.000,10.069,5.891,0.712,0.537
0.541,65.205,9.017,10.134,5.895,0.715,0.510
0.551,65.165,9.034,10.198,5.897,0.718,0.483
0.561,65.123,9.049,10.262,5.898,0.721,0.455
0.571,65.079,9.063,10.325,5.898,0.724,0.427
0.581,65.033,9.076,10.387,5.897,0.727,0.399
0.591,64.985,9.089,10.449,5.895,0.729,0.370
0.601,64.935,9.100,10.510,5.892,0.732,0.341
0.611,64.883,9.110,10.570,5.888,0.734,0.312
0.621,64.829,9.119,10.630,5.882,0.736,0.282
0.631,64.773,9.127,10.689,5.876,0.738,0.252
0.641,64.714,9.133,10.748,5.868,0.740,0.221
0.651,64.654,9.139,10.806,5.859,0.741,0.190
0.661,64.591,9.144,10.863,5.849,0.743,0.159
0.671,64.527,9.147,10.920,5.838,0.744,0.127
0.681,64.461,9.149,10.976,5.826,0.745,0.095
0.691,64.392,9.151,11.031,5.813,0.746,0.062
0.701,64.322,9.151,11.086,5.798,0.747,0.030
0.711,64.249,9.150,11.140,5.783,0.747,-0.003
0.721,64.175,9.147,11.193,5.766,0.748,-0.037
0.731,64.099,9.144,11.246,5.749,0.748,-0.071
0.741,64.021,9.140,11.298,5.730,0.748,-0.105
0.751,63.941,9.134,11.349,5.710,0.748,-0.139
0.761,63.859,9.127,11.399,5.689,0.748,-0.174
0.771,63.775,9.120,11.449,5.667,0.748,-0.209
0.781,63.689,9.111,11.498,5.644,0.748,-0.244
0.791,63.602,9.100,11.547,5.620,0.747,-0.280
0.801,63.512,9.089,11.595,5.595,0.747,-0.316
0.811,63.421,9.077,11.642,5.569,0.746,-0.352
0.821,63.328,9.063,11.688,5.541,0.745,-0.389
0.831,63.233,9.048,11.733,5.513,0.744,-0.425
0.841,63.136,9.032,11.778,5.484,0.743,-0.463
0.851,63.038,9.015,11.822,5.454,0.741,-0.500
0.861,62.938,8.997,11.865,5.423,0.740,-0.537
0.871,62.836,8.978,11.908,5.391,0.738,-0.575
0.881,62.732,8.957,11.950,5.358,0.737,-0.613
0.891,62.626,8.936,11.991,5.324,0.735,-0.652
0.901,62.519,8.913,12.031,5.289,0.733,-0.690
0.911,62.410,8.889,12.070,5.253,0.731,-0.729
0.921,62.300,8.864,12.109,5.217,0.728,-0.768
0.931,62.188,8.838,12.147,5.179,0.726,-0.808
0.941,62.074,8.810,12.184,5.141,0.723,-0.847
0.951,61.958,8.782,12.221,5.102,0.721,-0.887
0.961,61.841,8.752,12.256,5.062,0.718,-0.927
0.971,61.723,8.722,12.291,5.021,0.715,-0.967
0.981,61.602,8.690,12.325,4.980,0.712,-1.007
0.991,61.480,8.657,12.358,4.937,0.709,-1.047
1.001,61.357,8.623,12.390,4.894,0.706,-1.088
1.011,61.232,8.588,12.422,4.851,0.703,-1.128
1.021,61.106,8.552,12.453,4.806,0.699,-1.169
1.031,60.978,8.515,12.483,4.761,0.695,-1.210
1.041,60.849,8.476,12.512,4.716,0.692,-1.251
1.051,60.718,8.437,12.540,4.669,0.688,-1.293
1.061,60.585,8.396,12.568,4.622,0.684,-1.334
1.071,60.452,8.355,12.594,4.575,0.680,-1.376
1.081,60.317,8.312,12.620,4.526,0.676,-1.417
1.091,60.180,8.269,12.645,4.478,0.672,-1.459
1.101,60.042,8.224,12.669,4.429,0.667,-1.501
1.111,59.903,8.179,12.693,4.379,0.663,-1.542
1.121,59.762,8.132,12.715,4.329,0.658,-1.584
1.131,59.621,8.084,12.737,4.278,0.654,-1.626
1.141,59.477,8.036,12.758,4.227,0.649,-1.668
1.151,59.333,7.986,12.778,4.176,0.644,-1.710
1.161,59.187,7.936,12.797,4.124,0.639,-1.752
1.171,59.040,7.884,12.815,4.071,0.634,-1.794
1.181,58.892,7.832,12.832,4.019,0.629,-1.837
1.191,58.743,7.778,12.849,3.966,0.624,-1.879
1.201,58.592,7.724,12.865,3.913,0.619,-1.921
1.211,58.440,7.669,12.880,3.859,0.613,-1.963
1.221,58.287,7.612,12.894,3.806,0.608,-2.005
1.231,58.133,7.555,12.907,3.752,0.602,-2.047
1.241,57.978,7.498,12.919,3.698,0.596,-2.089
1.251,57.822,7.439,12.930,3.644,0.591,-2.131
1.261,57.664,7.379,12.941,3.589,0.585,-2.173
1.271,57.506,7.319,12.951,3.535,0.579,-2.215
1.281,57.347,7.257,12.959,3.480,0.573,-2.257
1.291,57.186,7.195,12.967,3.426,0.567,-2.298
1.301,57.025,7.132,12.974,3.371,0.561,-2.340
1.311,56.862,7.069,12.981,3.316,0.555,-2.381
1.321,56.699,7.004,12.986,3.261,0.548,-2.423
1.331,56.535,6.939,12.991,3.207,0.542,-2.464
1.341,56.370,6.873,12.994,3.152,0.536,-2.505
1.351,56.204,6.806,12.997,3.098,0.529,-2.546
1.361,56.037,6.739,12.999,3.043,0.522,-2.587
1.371,55.869,6.671,13.000,2.989,0.516,-2.628
1.381,55.700,6.602,13.000,2.935,0.509,-2.669
1.391,55.531,6.533,12.999,2.881,0.502,-2.709
1.401,55.360,6.462,12.998,2.827,0.496,-2.749
1.411,55.189,6.392,12.995,2.773,0.489,-2.789
1.421,55.018,6.320,12.992,2.720,0.482,-2.829
1.431,54.845,6.248,12.988,2.667,0.475,-2.869
1.441,54.672,6.176,12.983,2.614,0.468,-2.908
1.451,54.498,6.103,12.977,2.562,0.461,-2.947
1.461,54.323,6.029,12.970,2.509,0.453,-2.986
1.471,54.148,5.955,12.962,2.458,0.446,-3.025
1.481,53.972,5.880,12.954,2.406,0.439,-3.064
1.491,53.796,5.805,12.944,2.355,0.432,-3.102
1.502,53.619,5.729,12.934,2.305,0.424,-3.140
1.512,53.441,5.653,12.923,2.254,0.417,-3.178
1.522,53.263,5.576,12.911,2.205,0.409,-3.215
1.532,53.084,5.499,12.898,2.155,0.402,-3.252
1.542,52.905,5.422,12.884,2.107,0.394,-3.289
1.552,52.725,5.344,12.869,2.058,0.387,-3.326
1.562,52.545,5.266,12.854,2.011,0.379,-3.362
1.572,52.364,5.187,12.838,1.963,0.371,-3.398
1.582,52.183,5.108,12.821,1.917,0.364,-3.433
1.592,52.002,5.029,12.803,1.871,0.356,-3.469
1.602,51.820,4.949,12.784,1.825,0.348,-3.504
1.612,51.637,4.869,12.764,1.781,0.340,-3.538
1.622,51.455,4.789,12.743,1.736,0.332,-3.572
1.632,51.272,4.709,12.722,1.693,0.325,-3.606
1.642,51.089,4.628,12.700,1.650,0.317,-3.640
1.652,50.905,4.547,12.677,1.608,0.309,-3.673
1.662,50.721,4.466,12.653,1.566,0.301,-3.706
1.672,50.537,4.385,12.628,1.526,0.293,-3.738
1.682,50.353,4.303,12.603,1.485,0.285,-3.770
1.692,50.168,4.222,12.576,1.446,0.277,-3.802
1.702,49.984,4.140,12.549,1.408,0.269,-3.833
1.712,49.799,4.058,12.521,1.370,0.261,-3.863
1.722,49.614,3.976,12.492,1.333,0.253,-3.894
1.732,49.429,3.894,12.462,1.296,0.245,-3.924
1.742,49.244,3.812,12.432,1.261,0.236,-3.953
1.752,49.058,3.730,12.401,1.226,0.228,-3.982
1.762,48.873,3.648,12.368,1.192,0.220,-4.011
1.772,48.687,3.566,12.335,1.159,0.212,-4.039
1.782,48.502,3.484,12.302,1.126,0.204,-4.066
1.792,48.316,3.402,12.267,1.095,0.196,-4.094
1.802,48.131,3.320,12.232,1.064,0.188,-4.120
1.812,47.945,3.238,12.196,1.034,0.179,-4.146
1.822,47.760,3.156,12.159,1.005,0.171,-4.172
